商品マスタ用テンプレート,,,,,,,,,,,,,,,,,,,,,
商品マスタID,Mycaアプリ上でのID,商品名,買取名,商品名カナ,カード番号,レアリティ,封入パック,キーワード,JANコード,表示順,ジャンル,カテゴリ,販売店舗価格,買取価格,買取専用,自動印刷,店舗タブレット表示,在庫数無限商品,端数処理を無効にする,商品一覧に表示しない,アップロードエラー
ハンドル名,（この部分は変更しないでください）,,,,,,,,,,,,,,,,,,,,
id,myca_item_id,display_name,buy_display_name,display_name_ruby,cardnumber,rarity,pack_name,keyword,readonly_product_code,order_number,genre_display_name,category_display_name,sell_price,buy_price,is_buy_only,allow_auto_print_label,tablet_allowed,infinite_stock,disallow_round,hidden,upload_error
この下の行からデータ開始,（この下からデータを記入してください）,,,,,,,,,,,,,,,,,,,,
1172394,600538450,【PSA10】千年原人,,,TDPP-JP014,クォーターセンチュリーシークレット,PREMIUM PACK 決闘者伝説 QUARTER CENTURY EDITION,TDPP-JP014せんねんげんじん -,,0,遊戯王,PSA,0,10000,,https://static.mycalinks.io/app/item/image/YUGI/card/TDPP-JP/TDPP-JP014f.jpg,,,,,
1172412,600538420,【PSA10】トライホーン・ドラゴン,,,TDPP-JP013,クォーターセンチュリーシークレット,PREMIUM PACK 決闘者伝説 QUARTER CENTURY EDITION,TDPP-JP013トライホーンドラゴン とらいほーんどらごん トライホーンドラゴン -,,0,遊戯王,PSA,0,13000,,https://static.mycalinks.io/app/item/image/YUGI/card/TDPP-JP/TDPP-JP013f.jpg,,,,,
1172429,600538390,【PSA10】ゲート・ガーディアン,,,TDPP-JP012,クォーターセンチュリーシークレット,PREMIUM PACK 決闘者伝説 QUARTER CENTURY EDITION,TDPP-JP012ゲートガーディアン げーとがーでぃあん ゲートガーディアン -,,0,遊戯王,PSA,0,7000,,https://static.mycalinks.io/app/item/image/YUGI/card/TDPP-JP/TDPP-JP012f.jpg,,,,,
1172452,600538360,【PSA10】マジシャン・オブ・ブラックカオス,,,TDPP-JP011,クォーターセンチュリーシークレット,PREMIUM PACK 決闘者伝説 QUARTER CENTURY EDITION,TDPP-JP011マジシャンオブブラックカオス まじしゃんおぶぶらっくかおす マジシャンオブブラックカオス -,,0,遊戯王,PSA,0,7000,,https://static.mycalinks.io/app/item/image/YUGI/card/TDPP-JP/TDPP-JP011f.jpg,,,,,
1175133,600535130,【PSA10】青眼の白龍,,,QCDB-JP009,クォーターセンチュリーシークレット,QUARTER CENTURY DUELIST BOX SPECIAL PACK,QCDB-JP009ブルーアイズホワイトドラゴン ぶるーあいずほわいとどらごん 青眼の白龍 a89631139,,0,遊戯王,PSA,0,29000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCDB-JP/QCDB-JP009c.jpg,,,,,
1175138,600535115,【PSA10】ブラック・マジシャン・ガール,,,QCDB-JP008,クォーターセンチュリーシークレット,QUARTER CENTURY DUELIST BOX SPECIAL PACK,QCDB-JP008ブラックマジシャンガール ぶらっくまじしゃんがーる ブラックマジシャンガール a38033121,,0,遊戯王,PSA,0,34000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCDB-JP/QCDB-JP008c.jpg,,,,,
1185081,600518500,【PSA10】オシリスの天空竜,,,VP23-JP001,クォーターセンチュリーシークレット,QUARTER CENTURY ANNIVERSARY SELECTION,VP23-JP001オシリスノテンクウリュウ おしりすのてんくうりゅう オシリスの天空竜 -,,0,遊戯王,PSA,0,8000,,https://static.mycalinks.io/app/item/image/YUGI/card/VP23-JP/vp23-001.jpg,,,,,
1189372,600514265,【PSA10】灰流うらら,,,RC04-JP009,クォーターセンチュリーシークレット,RARITY COLLECTION ? QUARTER CENTURY EDITION ?,RC04-JP009ハルウララ はるうらら 灰流うらら a14558127,,0,遊戯王,PSA,0,22000,,https://static.mycalinks.io/app/item/image/YUGI/card/RC04-JP/RC04-JP009f.jpg,,,,,
1199611,600498291,【PSA10】カオス・ソルジャー,,,PSEC-JP004,プリズマティックシークレット,カオス・ソルジャーGETキャンペーン,PSEC-JP004カオスソルジャー かおすそるじゃー カオスソルジャー -,,0,遊戯王,PSA,0,100000,,https://static.mycalinks.io/app/item/image/YUGI/card/present/PSEC-JP004.jpg,,,,,
1206803,600484625,【PSA10】究極竜騎士,,,BACH-JPS01,プリズマティックシークレット,BATTLE OF CHAOS,BACH-JPS01マスターオブドラゴンナイト ますたーおぶどらごんないと 究極竜騎士 a62873545,,0,遊戯王,PSA,0,69000,,https://static.mycalinks.io/app/item/image/YUGI/card/11_7_BACH-JP/bach-s01.jpg,,,,,
